标题	年份	类型	国家	时长	评分	人数	概括	链接
微观世界 Microcosmos: Le peuple de l&#39;herbe	1996	纪录片	法国 / 瑞士 / 意大利	80	9.1	17962	　　高楼大厦见识过了，导演用不凡的拍摄技巧引领我们进入了昆虫的世界。出乎意料，在这里，平时令人“恐怖”的虫子门展现出了另一种不一样的美。当你近距离仔细察看这个世界时，你会发现原来毛毛虫的毛原来这么光滑；相互依偎的蜗牛温馨得赚人眼泪；勤奋的屎壳郎每天都在认真对付着他们的粪球；蜘蛛会在水下用一个小气泡作为自己的餐厅；天牛就像公牛一样在互相较劲。每只虫子原来都不曾闲着浪费光阴。　　微观下的虫子世界，带给观众的除了视觉的震撼，还有自然界无法向人类诉说的道理。	http://movie.douban.com/subject/1292285/	
难以忽视的真相 An Inconvenient Truth	2006	纪录片	美国	100	8.7	20515	　　他是几乎成为美国总统的人——阿尔·戈尔。很难说他成为总统会给世界带来怎样的改变，但是现在，他就在改变世界的路上。　　本片记录了戈尔作为一个环保专家，一个世界公民，为了环保世界进行的种种努力。他精彩的演说，议会上咄咄逼人的质询，对于环保议程的推进努力，还有在这一切的背后，他的内心世界。	http://movie.douban.com/subject/1474405/	
第十一个小时 The 11th Hour	2007	纪录片	美国	91	8.4	1690	　　逆转人类最黑暗的时刻！　　“必看佳片！令人心忧、触目惊心”——曼诺哈·达吉斯，《纽约时报》。　　“欢欣鼓舞……令人百看不厌。”——《洛杉矶时报》。　　“寻找改变世界的方法。”——《ELLE》。　　人类已经濒临绝境！扭转危机、阴止全球陷入生态灾难大爆发的最后时刻已经到来。影星莱昂纳多•迪卡普里奥作为出镜旁白和制片人，为全球观众呈现这部以环境保护为主题的影片，以刻不容缓且引人深思的画面内容展示了人类过往行为造成的恶果及其发展趋势，更重要的是，影片告知我们该如何改变这一切。　　本片邀请大批思想家参与访谈，包括政治家戈尔巴乔夫、科学家史蒂芬•霍金、持续性发展设计专家威廉•麦克多诺等数十人，这些智者的言论向我们提示了今时今日地球上所有生命所面临的严酷现状。洪水、火灾、飓风、冰山倾覆、不断增长的巨大垃圾山……所有的画面都令我们震惊，催促我们行动起来。我们会否采用令人振奋的...	http://movie.douban.com/subject/1945781/	
医疗内幕 Sicko	2007	剧情/纪录片/历史	美国	123	8.8	6288	　　一向作风犀利的美国纪录片导演迈克•摩尔（Michael Moore 饰）此次将矛头对准美国引以为豪的医疗保险体制，他采访了因无医保饱受伤病折磨的美国民众，揭露了美国医疗保健行业的黑幕，对美国负责药品审批的食品和药物管理局、负责监督医疗保健行业的国会议员进行了毫不留情的批评。通过大量个案以及和其他资本主义国家甚至社会主义国家的对比，向观者展示了所谓完善的美国医疗保健行业当前存在的种种弊端。　　本片荣获美国电影电视剪接师协会最佳纪录片剪辑奖、2008北美广播影评人协会奖最佳纪录片奖、2007芝加哥电影评论协会奖最佳纪录片奖、2007拉斯韦加斯电影评论组织奖最佳纪录片奖、2008纽约电影评论圈奖最佳纪录片奖等，并与导演之前两部作品《克伦拜恩的保龄》、《华氏911》并称为“高调三部曲”。	http://movie.douban.com/subject/1794367/	
可爱的动物 Animals Are Beautiful People	1974	喜剧/纪录片	南非	92	9.5	3428	　　南非著名导演Jamie Uys的这部纪录片由西至东介绍了纳米比亚沙漠中的红白沙漠、绿洲与卡里哈利沙漠中的动物居民。导演以愉悦的心情、平等的心态展示了狒狒家族的沙上杂技、被未婚妻强迫返工的织布鸟小伙子、吃下了腐烂发酵果实导致醉酒的动物们……同时亦有严酷干旱季节中自然淘汰的伤感段落——鹈鹕父母们不得不抛弃尚未学会飞翔的子女，龟裂的地面上留下一行行干瘪的幼小身体……电影自始至终有巧妙配合交响乐的动物行为剪辑，或灵动或诙谐，辅以动画等手段将非洲沙漠的动物天堂一面介绍给喜爱动物的观众们。　　本片获1975年金球奖最佳纪录片奖。	http://movie.douban.com/subject/1295518/	
尘与雪 Ashes and Snow	2005	剧情/纪录片	美国	63	8.8	6107	　　《尘与雪》是一部美得足以令人窒息的纪录片，它是一部活动的摄影集，每一帧单独抽出来都可以成为令人驻足观赏并流连忘返的摄影精品。影片始动于1999年，加拿大籍摄影师格利高里·考伯特（Gregory Colbert）的作品受到许多收藏家的青睐。在此之后，他的足迹更延伸到埃塞俄比亚、纳米比亚、汤加等国家。在那里，人与大象、鲸鱼、花豹、老鹰、、山猫等野生动物毫不违和地出现在同一画面中。他们彼此依靠，和谐共存，言语在绝美的画面前失去了用途，每次呼吸都成就了灵魂对生命的膜拜。　　羽变火，火变血，血变骨，骨变髓，髓变尘，尘变雪。生命周而复始，生生不息。这是一次对自然的无上赞颂。	http://movie.douban.com/subject/1926142/	
天地玄黄 Baraka	1992	纪录片	美国	96	9.1	15103	　　我们是谁？从哪里来？又将归往何处？这些问题和我们的生存息息相关，但却很少有人能够给出准确的答案。历时14个月，穿越24个国家，导演罗恩·弗里克（Ron Fricke）用镜头向我们展示了大自然能够拥有的最壮阔最绚丽的景致——从远古到现在，从猿猴到人类，从荒无人烟的沙漠到震撼人心的宗教活动现场，从广袤天地带来的感动到婴孩单纯的笑脸给予的幸福，我们会发现，很多时候，我们并不能意识到，这美好的一切正时时刻刻的发生在我们身边。　　全片没有台词，片名Baraka在古伊斯兰语中代表祝福，这也是导演拍摄此片的初衷，祝福与我们共同存在在这颗蔚蓝地球上的一切。	http://movie.douban.com/subject/1300551/	
2008年第29届北京奥运会开幕式 Beijing 2008 Olympics Games Opening Ceremony	2008	运动	中国大陆	245	8.8	20898	　　1. 北京奥运会开幕式欢迎仪式篇（倒计时最后10秒、欢迎焰火、29个焰火历史足迹、梦幻五环、国旗入场、1名儿童演唱《歌唱祖国》、56个民族的儿童簇拥着国旗走来、升中华人民共和国国旗，唱中华人民共和国国歌）　　2. 北京奥运会开幕式文艺演出篇（上篇：灿烂文明，画卷、文字、戏曲、丝路、礼乐；下篇：星光、自然、梦想、刘欢和莎拉·布莱曼演唱主题歌《我和你》）　　3. 北京奥运会开幕式运动员入场篇（204个国家代表团入场、胡锦涛宣布第29届奥运会开幕、刘淇致辞、罗格致辞、运动员及裁判员代表宣誓）　　4. 北京奥运会开幕式点燃圣火篇（首棒许海峰、第二棒高敏、第三棒李小双、第四棒占旭刚、第五棒张军、第六棒陈中、第七棒孙晋芳、第八棒李宁举火炬凌空绕场一周，点燃主火炬塔）	http://movie.douban.com/subject/3173528/	
意志的胜利 Triumph des Willens	1935	纪录片/战争	德国	114	8.5	9164	　　1934年，德国著名女导演莱尼•里芬斯塔尔（Leni Riefenstahl）受邀拍摄了《意志的胜利》。影片由纳粹构思，第三帝国出资赞助，记录了纳粹巅峰时期的会议、集会和游行盛况。为配合拍摄，帝国提供无限制的经费，一百多人的摄制组，无数的聚光灯，十六名一流摄影师、三十台摄影机、二十二辆配备司机的汽车和身着制服的机动警官，这庞大且豪华的摄制队伍加上里芬斯塔尔天才的创造力和美学理念，为影史奉上了一部最为完美也最受争议的杰作。　　《意志的胜利》被称为“最具权威性的宣传电影”，它荣获获1935年威尼斯电影节和巴黎电影节最佳纪录片奖。	http://movie.douban.com/subject/1306186/	
奥林匹亚1：民族的节日 Olympia 1. Teil - Fest der Völker	1938	纪录片/运动	德国		9.0	1352	　　这部关于1936年柏林奥运会的纪录片是第一部纪录夏季奥运会的电影。有如英雄史诗般气势恢弘，堪称影片史上的经典之作。至今仍有争议的德国女导演莱妮·瑞芬斯塔尔在拍摄本片时得到希特勒的全力支持，动用了大量的人力与物力，可以说空前绝后。影片通过镜头向观众展示了运动之美，竞争的刺激以及理想主义的巅峰。同时试图以歌颂年轻男性躯体之美以及运动的威力来宣扬纳粹精神，被认为是一部纳粹唯美主义的登峰造极之作，从此永远打上了历史的烙印。本片分上下两部，由《国家的节日》和《美的节日》构成。	http://movie.douban.com/subject/1297424/	
