标题	年份	类型	国家	时长	评分	人数	概括	链接
脆弱的变化：第二辑 Loose Change: Second Edition	2006	悬疑/纪录片/历史	美国	82	8.6	2003	　　本片在2004年制成，这是第二个版本，英文名字为9.11 - Loose Change 2nd Edition。　　　　内容介绍：　　影片的主要观点：　　a.为什么世贸大楼会倒坍得如此有序？就像专业的爆破专家做的一样，而且他们的记录片里看，那两架飞机根本不是民航飞机，在之前fox新闻有个评论员说怎么这飞机没有窗户，应该是军用飞机，fox新闻有拍下来，但之后这片断再也没有在任何媒体出现过了。而且他们发现飞机撞之前有发射炸弹，所以才会有撞击后那夸张的火焰。　　b.世贸大厦七号楼的倒塌问题。本片指出世贸七号楼，一撞四十多层的世贸建筑，不可能因为火灾被摧毁。官方说话是该楼由于火灾原因崩塌。实际上我们发现，这座并未遭到飞机攻击的楼火灾情况并不严重，不可能造成这个钢筋建筑的倒塌，此外，其崩塌方式被定位爆破一样。本纪录片更收录了一段原版CNN直播录像，显示在南北世贸大楼还未...	http://movie.douban.com/subject/1850806/	
地球公民 Earthlings	2005	纪录片	美国		9.4	6263	　　“我们优雅的享用我们的正餐，血腥的屠宰场被精心的隐藏起来。”——爱默生。　　英语单词Earthling，意指地球上一切居民。它不只是针对人类而言，更包括生存在这个星球上的所有生命。然而愚蠢的人类自认为是最完全的生命体，这他们所处的世界拥有绝对的支配权。在这股极端的物种主义思想影响下，每天有成千上万的生命惨遭杀害。当人们享受通过折磨、残害其他生命所带来的快乐之时，地球变成了令人不忍卒睹的血腥地狱……　　本片荣获2005年圣地亚哥电影节最佳纪录片、2005年波士顿国际电影节独立制片电影最佳内容奖、2005年艺术行动者电影节最佳纪录片奖。	http://movie.douban.com/subject/2328234/	
生命的进化 Life on Earth	1979	纪录片	英国	-9999	9.3	152	　　《生命的进化》这个系列首播于1979年，它开始了电视节目的一个新时代。David Attenborough和他的了不起的团队把一些相当不寻常的画面通过电视展示给世人看，它带领我们去关注世界上多样性的生物以及它们的演化。　　这些对观众产生了持久的影响。这个系列是当时the Natural History Unit制作的最大的系列节目，使用的胶带超过100万英尺，拍摄的场景有100多个。	http://movie.douban.com/subject/1418782/	
植物私生活 The Private Life of Plants	1995	纪录片	英国	-9999	9.4	1420	　　大卫艾登堡禄这次引领我们环游植物又神秘又奥妙的世界的介绍，现在已辑录在这套六集影片里。植物求生这个有趣的过程，从未试过以这种故事性、戏剧性的形式推出。大卫带我们细看植物的游历，成长，成花及与其它植物和动物斗争求存种种适应环境的奋斗历程。由有二百九十呎高的加州松树、或利用残忍的蚂蚁作保镖的赤藤，以至婆罗洲上面吞食昆虫甚至老鼠的瓶子草、植物世界的奥秘一一在这特辑揭盅。大卫运用了能将时间浓缩的摄影技术，来为我们展视生动的植物生活情况；用了极美丽的镜头去捕捉世界上最大，最鲜艳、最怪诞的植物。再加上特别的计算机图像，我们成功进入了植物的身体里面。让我们一同跟随大卫展开一个又惊讶又奇妙的旅程，去真正认识一个我们以为自己已经很了解的世界吧！	http://movie.douban.com/subject/1417901/	
人体漫游 The Human Body	1998	纪录片	英国	-9999	9.0	1414	　　【内容简介】　　一个令人惊叹的探险之旅，带你一同探索世界上最复杂的生物工学--人体生命系统，英国广播公司以此系列与您一同探讨人体的世界，从生命意识的形成到无边界的死亡之地...　　【生命物语】在我们生存的每一秒钟，体内都存有由无数个不可思议的微小生物所组成的奇异世界，它就是生与死之间的差异处.....　　【永不止歇的奇迹】生命的意识变化启动了世上最复杂难懂之生命循环系统，好似一出永不下档的戏曲，只为导向那坎坷多难的生之旅......　　【人之初】于新生儿成长的四年中，他们从环境里学会每一项生存必备之技能，它们包括走路，甚至是为自我意识觉醒而学会的说话技巧.....　　【澎湃的青春期】成人期生理上之变化是一连串荷尔蒙的革命，其转变速度有如云霄飞车般快速，它的影响不仅在身体上，也包括心里上.....　　【脑力的支配】人类在经过了四百万年的脑进化后，对一个成熟完整的人...	http://movie.douban.com/subject/1473475/	
人脑漫游 Brain Story	2000	纪录片	英国	-9999	8.7	268	　　多年来，人类一直探求了解心智的作用。现在随着现代技术的到来和神经科学的发展，一个人脑研究的全新世界已经展开，且了解我们的心智已变得切实可行。顶尖的神经科学教授Susan Greenfiled试图透过与哲学家、一般医师、神经外科医师及他们的病人交谈来解答“我们的心智是什么？我是谁？”的问题；她也发现了大脑的平衡极为细致且极为复杂。她会带领观众认识脑部，看看脑部是怎样的一部复杂精密机器!　　EP01：尽在脑中寻　　本集讲述了科学家逐步解构精妙复杂脑部的过程~首先是对脑部创伤影响的粗略研究;及后则于开脑手术中,在病人完全清醒的情况下,直接刺激脑部各特定区域!　　EP02：情感澎湃　　情感从何而来?为何思想跟感情看来相距甚远?苏珊.格林菲将于本集讲述&quot;情感&quot;,介绍一向以脑部分区为解释基础的理论,并阐述自己为何相信&quot;情感&quot;只是生化学现象!　　EP03：思想之窗　　视觉的幻...	http://movie.douban.com/subject/2139356/	
兔子洞里到底是什么 What the Bleep!?: Down the Rabbit Hole	2006	剧情/纪录片	美国		8.3	1139	　　简介：　　这是一部说电影不叫电影，说记录片不叫记录片的东西，是先前一个系列的What the Bleep do we know?!重剪辑版，说它是电影是因为在里面有一个故事情节，很简单，不过却很震撼。说它是记录片是因为这里面充满了量子力学、神学、心理学、生理学等等这些个乱七八糟理论的大杂烩，统统都是为了给那个故事背后的一切现实一个解释。　　故事很简单，一个刚刚因为老公有外遇而离婚的失语女摄影师，一直生活在过去的阴影里，开始讨厌婚礼，讨厌男人，讨厌自己，认为自己万事不顺，好像人人都跟自己过不去。就当最后终于在她对着镜子中的自己大发脾气的时候，先前偶然在地铁中看到一个展览点醒了她，自己开始善待自己，善待他人，世界重新美好起来……呵呵，就跟童话一般　　可能有些人会对这部片子里面提到的东西皱眉头，不管说是因为它里面提到的观点不对自己口味，或者直接是因为自己根本不明...	http://movie.douban.com/subject/1825856/	
与恐龙同行 Walking with Dinosaurs	1999	纪录片	英国	-9999	9.1	713	　　让我们展开一场终极旅程——重回恐龙盛行的时代！由荣获艾美奖的FrameStore动画小组制作，充满极致艺术美感的数码效果与精致动画的巧妙结合，重现栩栩如生的恐龙形象，让你置身于真实的失落世界。结合了科学家最新了现，《与恐龙共舞》带您去探索一亿五千五百万年前这些神奇的巨大生物；最先采取群体攻击猎食的虚形龙；地球上体型最庞大，最令人恐怖的食肉动物——暴龙；惊心动魄的三觭龙缠斗；单次展翅翱翔即可飞行远达300英里的鸟手龙。　　本片将带您享受最精彩刺激的史前生活！	http://movie.douban.com/subject/1422162/	
爱与狗同行 愛與狗同行	2008		香港	-9999	8.7	867	　　故事始于一条小狗——陪伴了导演16年的小狗Baby被疾病折磨，慢慢走向死亡……这个与挚爱分离的痛苦过程，激发导演重新思考生命、死亡和爱。于是，导演以狗为向导，开启《爱与狗同行》的旅程，去探访狗和它们最好的朋友——人之间的关系，并通过对于一个个人与狗的故事，透露出创作者对生活本质的思考，就如影片所说，“表面是讲狗，实际谈的却是人”……	http://movie.douban.com/subject/3095375/	
奈良美智和他的旅行记录 NARA:奈良美智との旅の記録	2007	纪录片/传记	日本	93	8.5	6006	　　奈良美智，日本著名现代艺术家，其最著名的作品便是那个始终流露着孤独和愤怒的情感的大头小女孩。“孤独和疏理感”给了他创作的原动力，并最终带其踏上成功的阶梯。如今，奈良美智在世界上许多国家都有着为数众多的粉丝，那一幅幅真情画作在他们的心中激起共鸣，愤怒的小女孩恰如每个人灵魂深处最躁动的部分。　　进入新千年，奈良美智终于带着他的孩子举行了世界巡展。在此之后，他回到老家青森投入到“A to Z”回顾展的准备工作中去。摄像机跟随着这位忘我的艺术家走遍世界各地，见证了粉丝们对他的崇敬与爱戴，真实记录了他创作中的点点滴滴，更触摸到他内心深处那不着痕迹的转变。只有时间周而复始，永未结束……	http://movie.douban.com/subject/2028027/	
持摄影机的人 Человек с Киноаппаратом	1929	纪录片	苏联	68	8.8	4760	　　本片是苏联纪录片导演，“电影眼”理论的创始人吉加•维尔托夫（Dziga Vertov）的代表作。电影主要拍摄于乌克兰的敖德萨市，摄像师是维尔托夫的哥哥米凯尔•卡夫曼（Mikhail Kaufman）。影片主要分观众入席、城市黎明、人民的工作与休息、体育运动和艺术实践几部分，通过刻画人民生活的方方面面来呈现苏维埃新社会中的一个理想城市。摄影师米凯尔•卡夫曼在拍摄的同时也出现在电影画面中，首创了“自我暴露”的电影形式。在这部具有里程碑性突破意义的纪录片中，维尔托夫首次使用了二次曝光、快进、慢动作、画面定格、跳跃剪辑、画面分割等前卫剪辑手法，并采用了仰角、特写、推拉镜头等新颖的拍摄手法，并制作了一段定格动画。	http://movie.douban.com/subject/1293199/	
阿涅斯的海滩 Les plages d&#39;Agnès	2008	纪录片/传记	法国	110	8.7	2227	　　安妮‧華妲說得真好，回憶就像一群盲頭蒼蠅，不按時序任意重播。年近八十，華妲的回憶之旅也真不易，因為精釆的片段實在太多。舊照片、舊片段、舊情事、訪問、對鏡頭直言，把某些窩心的叫演員重演一次。華妲絮語，娓娓道來。1954年新浪潮尚未起浪時的第一齣作品，與高達的情誼，《Cleo from 5 to 7》的成功，與積葵‧丹美的愛。安妮‧華妲形容自己為「胖嘟嘟的可愛矮婆婆」，看她眼神仍流露的頑童本色，旁觀者有誰能不為她喝采。	http://movie.douban.com/subject/3162138/	
在世界尽头相遇 Encounters at the End of the World	2007	纪录片	美国	99	8.8	5511	　　这部纪录片的编剧、导演和旁白均由沃纳·赫尔佐格（Werner Herzog）来担当，记录了他与剧组前往南极洲拍摄当地生物、居民以及独特地理风貌的历程。这部纪录片并不是一部关于南极著名的企鹅的影片，而是去探索南极的人类生活，以及壮丽神奇的南极洲美景。他们前往由美国国家科学 基金会南极计划部门运作的南极洲最大的科学研究中心——位于罗斯岛的麦克默多站进行拍摄，在当地采访了一些在作业、后勤、IT和维护等方面提供支援的成员后，他们陆续前往海豹基地、潜水营地等南极洲人类扎营的地点，沿途遇到很多有意思的人，做了很多包括细胞生物学家塞缪尔·宝泽（Samuel Bowser）、动物学家占·保罗斯基（Jan Pawlowski）、企鹅研究学者大卫·安利（David Ainley）等在内的简短访谈。在某种程度上，他们拍摄探索的并不在于展现科研领域，而在向大众揭示一种独特的...	http://movie.douban.com/subject/2237378/	
白钻石 The White Diamond	2004	纪录片	德国 / 日本 / 英国		8.3	981	　　德国导演沃纳•赫尔措格（Werner Herzog）即使不是唯一，但也可以列入世界上最富冒险精神导演行列了。他的影片往往充满了刺激和挑战，或在热带雨林和另一个疯子克劳斯•金斯基打造陆上行舟的奇景，或与各种危险动物近距离接触，为此付出生命也在所不惜。　　2004年的《白钻石》中，赫尔措格引领观众简要回顾飞机和氢气球的发展史。接着便带出本片另一个主角——研究氢气球的格雷姆•多灵顿博士（Graham Dorrington 饰），一个14岁时被火箭炸掉两根手指、同样富有冒险精神的男人。他们将乘坐多灵顿发明的氢气飞船圭亚那内陆的顶端丛林，以人类的柔弱之躯向自然发出挑战与膜拜……	http://movie.douban.com/subject/1433633/	
电影梦 Burden of Dreams	1982	纪录片	美国	95	8.7	592	　　这部纪录片真实再现了德国电影大师沃纳·赫尔佐格（Werner Herzog）用近五年的时间在秘鲁亚马逊热带丛林中艰难拍摄完成震撼世界的名片《陆上行舟》（Fitzcarraldo）的过程。本片记录了这段电影人寻找梦想的过程，但这绝不是一部现今发行电影DVD时几乎必附的幕后花絮纪录片，他没有对影片吹嘘拍马只是忠实纪录影片拍摄时面对的众多不可思议的困难日子以及一个为了电影近乎疯狂的导演。　　《陆上行舟》根据真实事件改编，爱尔兰人Fitzcarraldo酷爱歌剧，他想在热带雨林之中建造一个歌剧院然后请意大利男高音卡鲁索（Caruso）来演唱，为了凑到足够的金钱他买下来一块橡胶田做起橡胶生意，为了往来运输他必须弄一条船到雨林之中，在当地印第安土著帮忙之下，他终于把船从一条运河跨山而过运到了另一条河上。就在他兴奋无比之时，却不知土著有自己的打算，他们把船抛弃在河流...	http://movie.douban.com/subject/1296634/	
我的意大利之旅 Il mio viaggio in Italia	1999	纪录片	意大利 / 美国	246	8.9	418	　　这是著名导演马丁·斯科西斯用四个多小时长度的影片所写的个人电影教科书，同时也是他的个人电影传记兼创作评论，主题是他个人对意大利和意大利电影的感受，从斯科西斯家族的美国移民史，连结到意大利战后电影史，从新现实主义罗塞里尼的《德意志零年》，到安东尼奥尼和费里尼的《八又二分之一》等。斯科西斯向观众展示了他对电影的热情，他认为让更多人对电影感兴趣的最好方式就是将自己的狂热经验与他人分享。	http://movie.douban.com/subject/1302180/	
毕加索的秘密 Le mystère Picasso	1956	纪录片	法国	78	8.8	1397	　　《毕加索的秘密》（Le Mystère Picasso，亨利—乔治·克鲁佐，1956年|80分钟|35毫米|黑白与彩色|有声）以悬疑片的手法记录了西班牙画家毕加索（1881—1973）的一次作画过程。1956年盛夏，在法国南部海滨城市尼斯的一间画室里，面对难耐的酷热及聚光灯的强烈辐射，毕加索兴致昂然地挥笔作画：生动的线条在画纸上迅速游走和变形，一朵花先是变成一条鱼，接着变成一个美人，然后变成一只公鸡，最后变成了牧神。本片导演亨利—乔治·克鲁佐（Henri-Georges Clouzot，1907—1977）以拍摄悬疑片著称（据说希区柯克眼中的竞争对手只有一人，他就是克鲁佐），代表作有《乌鸦》（1943）、《恐惧的代价》（1953）等。克鲁佐在拍摄这部美术纪录片时，放弃了当时流行的传记式或说教式拍摄模式。本片虽然也有很多悬念，但不是故事片常见的戏剧性悬...	http://movie.douban.com/subject/1460440/	
英国史 A History of Britain	2000	纪录片/历史	英国	-9999	8.7	1417	　　章节内容简介：　　1 Beginnings（3100 B.C.——1000 A.D.）　　(本片在时间上横越了4000年从铁器时代直至今日。)　　古代英国是一个兴旺的地区，罗马人称它是一个声望和财富聚集的地方。当时很多英国酋长已经并接受了罗马式的规则并采取了罗马人的生活方式。Hadrian墙的建成标志着省在英国的出现。　　在罗马帝国灭亡400之后，它的统一的梦想却流传了下来。Alfred公然向伪王国挑战，并且把海盗从王国的土地上赶走，最终一个王国被诺曼人征服了。　　2 Conquest（1000——1087）　　九个小时的战役（the Battle of Hastings）之后，一切都改变了，诺曼人取代了盎鲁——萨克逊人，英国从此走上另一条道路。　　当法国人到来时，Harold解除了他哥哥Tostig的武装。他率领他的最后的部队向南冲锋了187英里。最后他在Sen...	http://movie.douban.com/subject/1418411/	
古罗马：一个帝国的兴起和衰亡 Ancient Rome: The Rise and Fall of an Empire	2006	历史	英国	-9999	8.9	1485	　　这个带有一定剧情的系列纪录片通过罗马时期的六个关键转折点描述古罗马的兴起和衰亡的故事,但它立足于精确的、广泛的历史研究，向我们展现了那些贪婪的、淫荡的和野心勃勃的人如凯撒、尼禄和康斯坦丁，当然也正是他们促使了罗马帝国的形成。同时它还描述了罗马怎么毁灭迦太基，被凯撒征服，又怎么镇压犹太人的反叛，转向基督教。　　这是一部混合着剧情和史实的纪录片，它使得我们准确的了解罗马帝国是怎样形成、达到鼎盛以及最终不可避免的走向衰亡的过程。　　01: 凯撒　　02: 尼禄　　03: 反叛　　04: 革命　　05: 康斯坦丁　　06: 罗马的衰亡	http://movie.douban.com/subject/2995871/	
60年代的印度与巴基斯坦 India and Pakistan at 60	2007	纪录片	英国	-9999	8.9	438	　　这是另一部纪录片，《印度的故事》正确条目为<a href="http://www.douban.com/link2/?url=http%3A%2F%2Fmovie.douban.com%2Fsubject%2F3885554%2F">http://movie.douban.<wbr>com/subject/3885554/</wbr><wbr></wbr></a>，请大家注意收藏——豆瓣电影	http://movie.douban.com/subject/3139782/	
埃及 Egypt	2005	纪录片/历史	英国	-9999	8.9	439	　　本影集以古埃及世界最重要的一些发现为焦点，回溯时空探索三个最大的传奇。　　其中包含了：霍华德卡特发现被历史所遗忘的法老王─图坦卡门；流浪冒险家贝尔松尼深入尼罗河上游发现沉没在黄沙之中的拉姆西斯二世统治时期最伟大的建筑─阿布辛贝神庙，以及天才语文学家尚方斯华透过古老语文回溯解开千百年来无人可解开的上古埃及象形文字。　　本影集将透过层层剖析，逐步抽丝剥茧的为您解开，数千年来深埋在黄土之下的古埃及文明与神话。　　第一集 寻找图坦卡门　　第二集 图坦卡门的诅咒　　第三集 做秀的法老王　　第四集 阿布辛贝神庙　　第五集 罗塞塔石碑　　第六集 破解象形文字	http://movie.douban.com/subject/2079407/	
耶稣基督万世巨星 Great Performances: Jesus Christ Superstar	2001		英国	107	8.2	897	　　这部音乐剧DVD取材于耶稣的生平事迹，韦伯创新地将严肃的宗教故事和前卫的摇滚音乐联系起来，是一部艺术表现非常大胆、思想性也极为深刻的作品。如果说《约瑟夫与神奇彩衣》是对圣经故事的图解，那么《万世巨星》从表面上看简直就是对传统的颠覆与反动：上帝的儿子耶稣不再时刻带着圣哲的光环，他有软弱，有动摇，更多的人性代替了神性；犹大卖主也不是出自贪婪，而是出自上帝安排的命运，自杀后的犹大穿着白袍带领一个天使唱诗班向耶稣提出几个哲学问题，耶稣竟然也不知道答案。细心的读者不难看出这样的情节安排和电影《耶稣基督的最后诱惑》的相似之处，与后者一样，该剧刚一推出，便遭到了正统宗教人士的强烈抗议，这反而增加了它的知名度，其插曲《我不知如何爱他》(I don\'t know how to love Him)、《万世巨星》(Superstar)长时间徘徊在各大唱片排行榜上。　　笔者...	http://movie.douban.com/subject/1958976/	
威尔第 歌剧电影《弄臣》 Rigoletto	1982	剧情/音乐	西德	128	9.0	540	　　主人公里戈莱托貌丑背驼，在宫廷里当一名弄臣。年轻貌美的曼图亚公爵专以玩弄女性为乐，而里戈莱托常为公爵出谋，帮他干勾引朝臣妻女的勾当，引起人们的愤恨，大家定计对他进行报复，让他不自觉地参加诱拐自己心爱女儿吉尔达。里戈莱托发现自己竟将女儿交给公爵后，决定雇刺客杀死他。当他从刺客手中接过装有尸体的口袋，以为大功已成时，忽闻公爵高歌之声，急忙打开口袋，发现里面装的是奄奄一息的女儿，这使他痛苦万分。原来，这个获悉行刺计划的少女对虚情假意的公爵一往情深，甘愿为爱情而替公爵一死。	http://movie.douban.com/subject/1443651/	
费加罗的婚礼 Le nozze di Figaro	1993	剧情/喜剧/音乐	France	168	8.9	529	　　《费加罗的婚礼》是莫扎特最具代表性的诙谐歌剧，故事是由费加罗及其所爱的苏珊娜共同布置着新房展开，紧接着是一连串的闹剧发生在他们与他们的雇主、伯爵、伯爵夫人，以及另一位侍童之间，最后这一切混乱又在闹剧中以喜剧收场。正如前面所提到的，莫扎特并没有将全剧的精彩片断浓缩至序曲中，而是讲整个歌剧诙谐的精神，放入了这个曲似奏鸣曲式架构组成的序曲中。	http://movie.douban.com/subject/1434323/	
魔笛 Die Zauberflöte	-9999		美国	-9999	8.8	420	　　《魔笛》是一部深具哲理意味的德国民族叙事歌剧，上演于1791年，作者于同年逝世。在这部歌剧中，莫扎特运用通俗易懂和引人入胜的神话剧的形式，体现了他的“乌托邦”的理想，即智慧终将战胜愚昧，光明终将战胜黑暗，善良终将战胜邪恶。这部歌剧的剧情十分离奇和稚气，情节的发展也有不合逻辑之处，但歌剧上演后却取得了相当大的成功，这无疑体现了当时的欧洲民众在法国大革命影响下，对“自由、平等、博爱”的向往。故事的中心情节叙述了古埃及一个叫做埃米诺的王子，同他所爱慕的少女帕米娜的爱情经历，他们两人在捕鸟人帕帕杰诺和智慧与光明王国的祭司萨拉斯特罗的帮助之下，在紧急关头依靠魔笛的魔力，经受了种种严峻的考验，最后终成眷属；而代表邪恶势力的夜女王和摩尔人则仓惶地被赶走了。　　这部歌剧的序曲非常有名(片段1)，用奏鸣曲形式写成.。整个序曲就好象是一股源源涌出的水流，象征着光明和美好的...	http://movie.douban.com/subject/1797517/	
波西米亚人 La Bohème	1965	剧情/音乐	西德	105	8.8	256		http://movie.douban.com/subject/1792956/	
16天	2005	纪录片/音乐	台湾	54	8.8	3742	　　本部质朴真诚的音乐纪录片《16天》，记录了陈绮贞以及她的团队制作“华丽的冒险”这张专辑背后鲜为人知的16个日日夜夜的故事。　　继“Sentimental Kills”、“旅行的意义”与“after 17”这三张单曲之后，台湾创作型民女谣歌手陈绮贞，推出独立制作完成的个人专辑“华丽的冒险”。脱离唱片公司的庇荫，仅有极为有限的资源，陈绮贞选择了一般流行唱片较少采用的乐团现场录音方式，并搭造了一座充满人性的录音空间。这间看似简陋但却清幽宁静的乡间小屋，见证着这样一群为音乐痴迷、拥有着共同梦想的年轻人们的16个日夜。	http://movie.douban.com/subject/1850465/	
	-9999			-9999	-9999	-9999		http://www.douban.com/location/drama/1510968/	
	-9999			-9999	-9999	-9999		http://www.douban.com/location/drama/1511040/	
	-9999			-9999	-9999	-9999		http://www.douban.com/location/drama/1510769/	
乐士浮生录 Buena Vista Social Club	1999	纪录片/音乐	德国 / 美国 / 英国 / 法国 / 古巴	105	9.2	4314	　　《乐满哈瓦那》Buena Vista Social Club　　又译《乐士浮生录》、《乐满夏拿湾》　　导演：维姆 文德斯 Wim Wenders　　主演：Ry Cooder、Ibrahim Ferrer、 Ruben Gonzalez　　类型：记录/ 音乐　　　　获奖记录：欧洲电影奖（最佳纪录片）；纽约影评人奖；洛杉叽影评奖；爱丁堡国际电影节观众奖； National Board of Review大奖；西雅图电影节最佳纪录片　　　　这是一部令人感动的音乐记录片，片中一群快乐的老乐手向世界展示了古巴音乐伟大的根源，令世界掀起古巴音乐热潮。　　　　这部记录片是《德州巴黎》，《柏林苍穹下》的著名导演文德斯拍摄的，源于他的音乐伙伴莱德库的一次古巴旅行。莱德库在旅行中发现了当地一支乐队背后感人的故事，在他的力劝下，文温德斯在1988年率领摄影组来到古巴，开始...	http://movie.douban.com/subject/1291857/	
里奥纳德·科恩：我是你的男人 Leonard Cohen: I&#39;m Your Man	2005	纪录片/音乐/传记	美国		9.0	1560	　　2005年1月，导演琳恩·露森远赴雪梨歌剧院为一场名为“Came So Far For Beauty”演唱会进行拍摄，为了向李欧纳致敬，Nick Cave及多位知名艺人共同参与了这场盛大的表演，并由知名音乐制作人Hal Willner担任总监。本片可说是首次对李欧纳这位音乐界的巨擘进行零距离接触、最赤裸的深入访谈，从李欧纳的诗作、小说等作品，甚至他的绘画创作及相片收藏等，透过难能可贵的访问和李欧纳亲身的自述，见识他独特的魅力所在。除了许多珍贵画面之外，亦收录了许多歌手如U2乐团主唱Bono、70年代末独立音乐领导者Nick Cave、Rufus Wainwright等众多知名艺人精采绝伦的演出画面，重量级的卡司肯定让人惊艳不断。	http://movie.douban.com/subject/1752181/	
触觉声音－格兰妮的声音之旅 Touch the Sound - a sound journey of Everlyn Glennie	2004	纪录片	德国 / 英国	99	8.7	181	　　当伊夫林·格兰妮还是个学生的时候，她知道她要失去听力了。但是她没有因此放弃对音乐学习，在音乐方面她已经显示了极大的天分，她将注意力转向打击乐器并通过自己的身体感受声音。该片记录了她在纽约、德国和东京演出时的情形，并展现了她所认为的音乐本质。　　该片是一部关于苏格兰聋哑音乐学者、英帝国女爵士（Dame of the British Empire）伊夫林·葛莱尼博士（Dr Evelyn Glennie）的当代电影纪录片。伊夫林是首位在“20世纪西方社会”（20th Century Western Society）独奏的乐手。她曾获得格莱美奖（Grammy Award）、十年最佳苏格兰女艺人奖（Scotswoman of the Decade Award）、15项荣誉博士头衔和多项终身成就奖。托马斯·雷德尔塞默凭借此片荣获英国电影学院奖，另外他还曾获曼谷、莱...	http://movie.douban.com/subject/1424486/	
艺术的力量 Simon Schama&#39;s Power of Art	2006	纪录片/历史	英国	-9999	9.4	3553	　　八集BBC年度巨献纪录片《艺术的力量》，将为您详细讲述卡拉瓦乔、贝尼尼、伦勃朗、雅克、透纳、梵高、毕加索以及罗斯科八位艺术家的生平，重现这八位艺术大师的创作历程。八位艺术大师拥有自成一派的创作风格和鲜明的个性，本片将全面剖析艺术大师们孕育和诞生艺术品时扣人心弦的故事。在主持人西蒙‧沙玛独特而富有个性化的叙事下，这将是一次饱览艺术大师们所创作的最伟大作品的饕餮盛宴。戏剧化的艺术重塑，壮阔华美的摄影画面，八位艺术界巨匠背后鲜为人知的故事被刻画得曲尽其妙，或扼腕叹息或拍手称快，这便是艺术的力量。　　这部独特而极具震撼力的纪录片《艺术的力量》，荣获国际艾美奖最佳艺术节目、2007年第60届英国电影电视艺术学院奖最佳摄影纪实类等多项国际大奖。	http://movie.douban.com/subject/2063068/	
艺术创世纪 How Art Made the World	2005	纪录片	美国 / 英国	-9999	9.0	1113	　　BBC记录片　　艺术是人类对世界的感知；艺术是人类对自身的体验；艺术塑造并阐释着人类过去和未来的生活穿越十万年的历史长河，一起去寻觅视觉艺术的起源，绘画、人体、影像、死亡艺术创世纪——引领你我走进艺术的世界，探索人类艺术的起源　　《艺术创世纪之——艺术中的人体》　　在大街的墙壁上、杂志上、还有电视屏幕上,到处都是有关人体的图片——没有任何一种图像能像人体图像一样如此彻底地主宰我们的生活。然而你是否注意到，这些人体图像中，竟没有一个是和真人一摸一样的。是什么原因让艺术家创造了这些超越真实的图像？现在，就让我们回溯过去，到维伦道尔夫、古埃及，古希腊以及意大利，去解开这个疑团。　　《艺术创世纪之——图画的诞生》　　三万五千年前，人们突然决定描述他们身边的生活——史前人开始了绘画的创作。这是个令人震惊的改变。令科学家疑惑的是，我们的祖先最初是怎样产生了画画的想法？他们...	http://movie.douban.com/subject/2058642/	
旷世杰作的秘密 Private Life of a Masterpiece	2003	纪录片	英国	-9999	9.3	948	　　在美丽的画布与雕像的背后往往藏着许多故事,本片揭露了历史上最经典艺术作品背后的真相以及惊人的事实!&quot;旷世杰作的秘密&quot;详述了每一件杰作被受争议的旅程.从创作者到破坏杰作的人,是鉴赏家与热爱艺术人群不容错过的绝对经典.....　　1、The Kiss 超现实主义-克林姆的“吻”　　2、The Third of May 1808 哥雅-五月三日　　3、The Great Wave  葛饰北斋-巨浪　　4、Sculpture The Kiss　　5、The Battle of San Romano-圣罗马诺的战役　　6、The Art of Painting 维梅尔 绘画艺术　　7、The Sunflowers 梵高-向日葵　　8、The Scream 爱德华孟克-呐喊　　9、The Rokeby Venus 镜子里的维纳斯　　10、The Resurrection 复活　　11...	http://movie.douban.com/subject/3058561/	
涅磐纽约不插电演唱会 Nirvana: Unplugged In New York	1993	纪录片/音乐	USA	72	9.7	5545	　　1993年11月18日，Nirvana应邀为MTV制作Unplugged演唱会。乐队三个成员极少有地坐在凳子上，穿着干净整齐，演出了一场比他们想象中感觉要好的演唱会。&quot;我们演出前一天还在讨论会不会坐在那里象傻子那样，可是当摄影镜头慢慢摇过来的时候，感觉突然好起来了。&quot;&quot;你知道，这种演唱会按道理来说不会好到那里去的，我意思是说，我们根本就觉得讨厌，可是结果还挺让我们满意，我们很惊奇地感到愉快。。。　　一个月后， MTV在全美播出这场演唱会。之后，他们又赴欧洲巡演。但在罗马期间，Cobain又萌生了自杀的念头，人们还发现了他写好的遗书。1994年3月1日， Nirvana在德国慕尼黑的演出成为乐队最后的一次公开表演。回国后，Cobain被强制送往康复中心戒毒。但仅过了两天，他便成功地从医院逃脱。 1994年4月5日，Kurt Cobain开枪自杀。3天后，...	http://movie.douban.com/subject/1449961/	
伍德斯托克音乐节1969 Woodstock	1970	纪录片/音乐/历史	美国	184	9.2	2587	　　The original &quot;Woodstock&quot; documentary film, with added elements including performances by bands who were not included in the original film, bonus footage of those who were, and a post-credits tribute to activists, performers, and organizers who passed on since the original release.	http://movie.douban.com/subject/1292342/	
