标题	年份	类型	国家	时长	评分	人数	概括	链接
南极大冒险 Eight Below	2006	剧情/爱情/家庭/冒险	美国	120	8.6	38879	　　动物与人之间互救互助，不舍不弃的感人故事，冰天雪地的南极迎来了三个科考队员，他们要前来搜寻一块陨石，随行的还有八条雪橇狗。南极风景优美，三人惊叹不已，然而危险却也随着美景到来。几天之后，一场暴风雪让他们尝到了苦头，其中一名队员掉进了薄冰下的冰水里面，危在旦夕，幸得雪橇狗奋身相救，队员才脱险——这似乎只是一个小小的序曲，更严峻的考验还在后头。　　狂暴的风雪在肆虐着南极大地，科考队员进退两难，在恶劣的天气和环境下挣扎求生。而此时，他们只能决定放弃那八条忠实的雪橇狗。当三人安全返回的时候，他们怎样也放不下那些还陷于危难的狗。为了挽救它们，三人沿途折回，回到了那片南极大地。	http://movie.douban.com/subject/1477448/	
虎兄虎弟 Deux frères	2004	剧情/家庭/冒险	法国 / 英国	109	8.4	13553	　　老虎古玛和桑哈出生在印度支那的原始森林里，本来正是无忧无虑的童年期，但是这里的古老石窟却招惹来一帮西方来的探险队。他们枪杀了他们的父亲。不幸的古玛被他们抬走了，剩下桑哈跟母亲慌乱逃生。古玛给辗转卖到了马戏团，被迫每天练习跳火圈之类的把戏。他想念家人，还不习惯被驯养的生活，境 况非常悲凉。　　而他的兄弟桑哈，也没能逃脱被人类抓捕的命运。幸亏长官的儿子非常宠爱它，把它留在家中一起生活，让他免于颠簸的生活。然而，它毕竟是一只有野性的老虎，当家人发现了危险的苗头时，可怜的桑哈还是被送到了动物园。　　几个月后，一场斗虎比赛开始了。两兄弟竟然意外被安排成竞技场上的对手。这次重逢让兄弟俩喜出望外，并开始了他们的逃脱计划。	http://movie.douban.com/subject/1309135/	
昨天	2001	剧情/音乐/传记	中国大陆	114	8.5	15989	　　本片是对演员贾宏声在上世纪九十年代整十年不堪回首岁月的真实再现，并由贾宏声本人及其家人回归各自相应身份参与回首。　　贾宏声本是年轻有为的优秀演员，从1987年到1993年，他主演了《夏日的期待》、《银蛇谋杀案》、《北京你早》和《周末情人》等将近十部电影，渐渐小有名气。这期间，他接触并疯狂爱上了摇滚乐，视BEATLES乐队的约翰•列侬为精神之父，然而同时，他也接触了并非摇滚精神内核的大麻和软性毒品。自此，他不再接戏，性格变得极端、偏执和歇斯底里，无法再与其他人相处。其远在东北四平的父母为了不让儿子继续沉沦，提前退休把整个家搬到北京，随后的一切，都像一场似乎没有尽头的战争。　　贾宏声于2010年7月5日下午坠楼身亡，时年43岁。	http://movie.douban.com/subject/1308086/	
母亲 母べえ	2008	剧情/家庭	日本	133	8.6	4799	　　1937年，太平洋战争如火如荼。居住在东京的野上一家过着平静而幸福的生活。只是在这战争年代，幸福是多么奢侈和脆弱的一件事。身为进步作家的一家之长野上滋（坂东三津五郎 饰）因左倾思想被当局以妨害治安维持法的罪名逮捕，不久即受迫害致死。妻子佳代（吉永小百合 饰）强忍悲痛，坚强地抚养一双女儿初子（志田未来 饰）与照美（佐藤未来 饰）。他用自己一生的幸福和无私的母爱，护佑着孩子们健康成长……　　本片根据黑泽明生前的御用场记野上照代所创作的自传体小说《给父亲的安魂曲》改编。	http://movie.douban.com/subject/2000741/	
登堂入室 Dans la maison	2012	剧情/悬疑/家庭	法国	105	8.5	38016	　　法国高校文学老师吉尔曼（法布莱斯·鲁奇尼 Fabrice Luchini 饰）给学生布置了一篇周记，要求他们如实记录周末的见闻。在众多乏味的作业中吉尔曼意外发现16岁少年克劳德（恩斯特·吴默埃 Ernst Umhauer 饰）的文章异常精彩。克劳德是一个安静的观察者，习 惯坐在教室的最后一排。他的作业是关于偷窥——讲述他如何潜入朋友家中、窥探对方一家生活的故事。吉尔曼被字里行间深深吸引，熄灭已久的文学激情亦被点燃。他不但决定单独辅导才华横溢的克劳德、鼓励他放手创作，还与妻子珍娜（克里斯汀·斯科特·托马斯 Kristin Scott Thomas 饰）一同分享克劳德的作文。然而成年人在阅读过程中竟渐渐忘记了虚构和现实的边界，更懵然不知自己的居室早已房门大开......　　法国鬼才导演弗朗索瓦·欧容曾凭借黑暗惊心的《八美图》、《泳池谋杀案》惊艳世界影坛。在...	http://movie.douban.com/subject/6537486/	
爱在暹罗 รักแห่งสยาม	2007	剧情/爱情/同性	泰国	150	8.3	175870	　　Mew（Witwisit Hirunwongkul饰）和Tong（Mario Maurer饰）是一对小伙伴，一场悲剧却使二人不得不分开：Tong的姐姐阿红在一次野外旅行中不幸失踪，Tong的父母迅速决定离开这个伤心地。　　几年后，长大了的两人在曼谷广场意外重逢，此时，Mew是August乐团的创作加主唱，相依为命的嬷嬷去世后，他独自一人寂寞地生活。Tong的家庭也难现欢乐，爸爸因为过度思念死去的女儿，整日借酒浇愁。重逢后，时间就像是逆流回童年，两人重拾以往的亲密无间，还是无话不谈的朋友。　　渐渐的，一种新的情愫开始在两人心中滋生，派对上，Mew唱出他写的第一首情歌——为Tong而写的情歌，二人情不自禁亲吻了，不料这一幕却被Tong的妈妈尽收眼底……Tong和Mew的交往开始受到阻挠，二人陷入痛苦之中，亦因此得以重新审视这份感情。	http://movie.douban.com/subject/2365260/	
新龙门客栈	1992	剧情/动作/武侠	香港 / 中国大陆	88	8.4	127511	　　宦官专权的明朝中叶，东厂曹少钦（甄子丹）假造圣旨杀害了忠良杨宇轩，并想斩草除根杀死其后代。侠女邱莫言（林青霞）、江湖义士贺虎等人冒死救出忠良后代后，逃至边关沙漠里的龙门客栈，与杨宇轩部下周淮安（梁家辉）会合。龙门客栈实则黑店，老板娘金镶玉（张曼玉）利用乱世，以美貌和风骚 作诱饵杀人越货聚敛钱财，但她却为英俊潇洒的周淮安动了真心。为了摸清潜藏于龙门客栈中的出关暗道，周淮安将计就计，答应与金镶玉成亲。　　洞房花烛夜，楼上的周淮安与金镶玉各怀心事暗中较劲，楼下的邱莫言、贺虎等人也与东厂一众“走狗”展开了明争暗斗，战事一触即发。	http://movie.douban.com/subject/1292287/	
美食家 L&#39;aile ou la cuisse	1976	喜剧	法国	104	8.4	4326	　　美食杂志主编Charles Duchemin（Louis de Funès）具有天赋异禀的嗅觉和味觉，食物经他的鼻子一闻、嘴巴一品，是否真如传说中美味便可得知。为了让读者品尝到真正可口的食物，他常乔装打扮潜入各大饭店、旅馆品尝食物，好的，他会在杂志上极力推荐，差的，则痛快骂之。因此，他成了饭店、旅馆老板眼中的魔鬼，却也是读者心中的上帝。　　因为年事已高，Charles Duchemin很想让在嗅觉和味觉上也有超人天赋的儿子Gérard Duchemin（Coluche）子承父业，无奈后者只对马戏感兴趣，经常瞒着他去马戏团做小丑，笑话于是迭出。但一位妄想吞没法国餐饮业的快餐大亨令父子两人最终联起手来。	http://movie.douban.com/subject/1308457/	
缺席的人 The Man Who Wasn&#39;t There	2001	剧情/犯罪	英国 / 美国	116	8.3	7587	　　理发师艾迪（Billy Bob Thornton 饰）的生活平淡无奇，在百货店担任簿记的妻子多丽丝（Frances McDormand 饰）和他貌合神离，艾迪凭丈夫的直觉断定妻子与其老板戴夫有染。一日，艾迪接待的一位客人大肆吹嘘新兴的干洗生意，并拉拢艾迪投资，不甘在小镇寂寞一生的艾迪决意入股，并向戴夫发出了匿名威胁信勒索以获得资金。艾迪如愿收到封口费，但事情很快暴露，戴夫找到艾迪泄愤不成反被杀死。戴夫之死导致多丽丝入狱，艾迪反而未受怀疑，于是他超脱于事件之外，每日只靠少女贝蒂（Scarlett Johansson 饰）的琴声打发时光，不久一场车祸让事情急转直下……　　本片获2001年戛纳电影节最佳导演奖，2002年英国电影学院奖最佳摄影奖，伦敦电影协会年度男演员、最佳编剧等19项褒奖。	http://movie.douban.com/subject/1306032/	
海蒂 Heidi	1937	剧情/家庭	美国	88	8.4	3189	　　孤儿海蒂（Shirley Temple 秀兰•邓波 饰）和黛特阿姨（Mady Christians 饰）生活在一起，然而黛特不愿继续在照顾外甥女，于是千里迢迢将海蒂送到偏远的善终——海蒂爷爷（Jean Hersholt 饰）的隐居之处。因失去儿子而沉浸悲伤之中爷爷阿道夫起初无视这个从未见过面的孙女，但随着时间推移，祖孙俩的感情日益加深。　　但是贪婪的黛特再次返回，骗走海蒂欲将其卖给他人作女佣。天使般的海蒂和主人家的失明女儿安娜（Helen Westley 饰）培养出亲密的友情；另一方面，阿道夫也踏上寻找孙女的旅程……	http://movie.douban.com/subject/1300860/	
杀死一只知更鸟 To Kill a Mockingbird	1962	剧情/悬疑/犯罪	美国	129	8.4	18605	　　美国南部的梅岗镇上住着父亲芬奇(格利高里·派克 Gregory Peck 饰)和他的一对儿女。尽管妻子已经亡故，一家人仍过得乐也融融，芬奇对儿女亦既严格又疼爱有加。父亲平时还对他们说过，不要杀死为人类唱歌的知更鸟，因为她们善良而从不伤害人。　　芬奇除了是一个慈父，还是当地一名勇于伸张正义的律师。这天他接到一宗强奸案，被告是黑人罗宾逊（布洛克·皮特Brock Peters 饰），而受害者是一名白人女子。这样一个案件，在那个种族歧视相当严重的年代，罗宾逊的境况堪忧。即使芬奇找到了他没有犯罪的证据，也不足以让人们抛开种族成见。芬奇在法庭上奋力维护事实和法律的公正，然而却没能阻止人们根深蒂固的偏见。更糟糕的是，怀有种族偏见的白人已经把芬奇当作公敌，而罗宾逊也无法洗清罪名，更可悲的命运在等待着他。	http://movie.douban.com/subject/1297991/	
