标题	年份	类型	国家	时长	评分	人数	概括	链接
英国病人 The English Patient	1996	剧情/爱情/战争	美国 / 英国	162	8.4	132748	　　一段爱情，在战火中燃烧，逾越了道德，改变了战局。艾马殊（拉尔夫•费因斯 Ralph Fiennes 饰）是一个历史学者，跟随探险家来到撒哈拉沙漠考察，结识了绘制地图的飞机师杰佛和他妻子凯瑟琳（克里斯汀•斯科特•托马斯 Kristin Scott Thomas  饰）。凯瑟琳的才气和美丽让艾马殊深深着迷，两人在沙漠一个幽深洞穴参观壁画时，更加发现彼此志趣相投。　　道德最终战胜了激情。凯瑟琳和艾马殊分手后，杰弗发现了妻子的外遇。伤心的杰弗开着飞机企图与妻子和艾马殊同归于尽，艾马殊幸运躲过一劫，却造成凯瑟琳身受重伤、自己命丧黄泉。艾马殊赶到深爱的人身边，把她安置到山洞里，承诺一定会走出沙漠，找到援助。但是，事情却不像想象中容易。他为了救人，担当了卖国罪名，惹来了杀身之祸，而凯瑟琳会不会等来获救的曙光？艾马殊又将承担起怎样的罪责？	http://movie.douban.com/subject/1291853/	
E.T. 外星人 E.T.: The Extra-Terrestrial	1982	剧情/科幻/家庭/奇幻/冒险	美国	115	8.5	109383	　　小埃利奥特（亨利托马斯）发现一个意外走失的小外星人，他悄悄的收留了小外星人，并把他介绍给自己的哥哥和妹妹。孩子们与外星人友好的相处，给他吃巧克力，带他去郊外寻找家人留下的痕迹，并为小外星人的种种特异功能兴奋不已。渐渐的埃利奥特与外星人之间形成了某种奇妙的联系，跨越了言语沟通的障碍。　　可是不久，外星人的存在被大人们知晓，无情的追捕行动展开了。ET被抓进实验室，小埃利奥特也一病不起。孩子们愤怒了，他们自发组织起来，营救外星人。埃利奥特也在心灵的感召下苏醒过来，加入营救行动。他们能成功么？	http://movie.douban.com/subject/1294638/	
阿飞正传 阿飛正傳	1990	剧情/爱情/犯罪	香港	94	8.5	111144	　　1960年代的香港，因生母在阿飞旭仔（张国荣）长大成人过程中的缺失，他把自己优雅地比喻为“无根鸟”，对生命中遇到的每一个女人都表现得放荡不羁，售票员苏丽珍（张曼玉）和舞女咪咪（刘嘉玲）先后令他感受过温暖，可是她们也只能当当小情人。为摆脱沉重和无力感，旭仔抛下一切去南洋找寻生母。　　暗恋过苏丽珍且目睹过她与旭仔情感一路变化的，曾是小巡警今在跑船的超仔（刘德华）在菲律宾又遇到旭仔，是缘分也是宿命，他参与、见证了阿飞命运被改写的过程。	http://movie.douban.com/subject/1305690/	
出租车司机 Taxi Driver	1976	剧情/犯罪	美国	113	8.4	72818	　　特拉维斯（罗伯特·德尼罗 Robert De Niro 饰）从越战中退伍回来后一直在纽约以开出租车为生。战争后的他多少有些失落，加上开出租车目睹了纽约夜幕下的种种罪恶，令他变得愤世嫉俗、痛恨社会。在追求总统候选人帕兰坦竞选办公室的秘书贝西失败后，特拉维斯决定去刺杀帕兰坦 以证明自己。　　在准备刺杀行动的过程中，特拉维斯遇上了被逼卖淫的雏妓艾瑞斯。在企图救艾瑞斯出火坑未果后，特拉维斯手持武器闯进淫窝，将里面的一干人等通通干掉了！本以为即将收到法律的惩罚，然而媒体却将特拉维斯描述成了一个拯救少女的英雄……	http://movie.douban.com/subject/1292222/	
盗火线 Heat	1995	剧情/惊悚/犯罪	美国	170	8.4	50467	　　文森特•汉纳（阿尔•帕西诺 饰）是洛杉矶警局重案组的探长，工作积极投入，打击犯罪毫不手软，因此，家庭生活危机重重，目前的第三次婚姻也面临解体；尼尔•麦考利（罗伯特•德尼罗 饰）是职业匪徒，混迹江湖多年，做事干净利落，而且心狠手辣，不留后患，组织手下成功抢劫运钞车的案子，使他受到了警方的“特别关注”。　　一个偶然的机会，尼尔认识了平面设计师伊迪，两人一见钟情，再看到手下都有安定的家庭生活，尼尔也想把握自己的幸福，遂萌生退意。然而，在最后一次抢劫银行的行动中，因为叛徒的出卖，手下一死一伤，本已逃出的尼尔，带着伊迪在去机场的路上，得知了叛徒的消息，他决定替手下报仇，同时也和文森特•汉纳进行最后的较量……	http://movie.douban.com/subject/1295686/	
偷拐抢骗 Snatch	2000	惊悚/犯罪	英国 / 美国	104	8.5	78767	　　土耳其（杰森•斯坦森饰）是一位黑市拳击的经理人，不过他遇到了麻烦，本该参加比赛的选手被吉普赛人米奇（布拉德•皮特饰）一拳击倒。土耳其不得不选择在黑帮老大布里克（阿兰•福特饰）与吉塞人之间周旋，来获得生机。与此同时，四指弗兰克（本尼西奥•德尔•托罗饰）携带一颗86克拉的钻石来到伦敦，这件赃物引起了各路匪徒的兴趣，其中包括军火商老布（拉德•舍博德兹加饰）、杀手“子弹牙齿”托尼（维尼•琼斯饰）与黑人小混混维尼（罗比•吉饰）。这些心怀不轨的罪犯各自盘算着自己的完美计划，不想造化弄人，惊人的巧合引出一连串幽默的冷笑话。所有的一切都在伦敦的夜晚交织，究竟谁能够从中解脱？就在盖•瑞奇导演的《偷拐抢骗》中揭晓。	http://movie.douban.com/subject/1301171/	
枪火 鎗火	1999	剧情/悬疑/惊悚/犯罪	香港	84	8.5	59146	　　黑社会老大文哥（高雄饰）被人追杀，其弟阿南（任达华饰）安排五个人来做其兄的保镖，并命令他们查出暗杀文哥的幕后人物。这五人分别是阿鬼（黄秋生饰）、阿来（吴镇宇饰）、阿MIKE（张耀扬饰）、阿信（吕颂贤饰）和阿肥（林雪饰）。阿来和阿信是知名的高手，阿鬼、阿MIKE、阿肥则是金盆洗手的昔日英雄：阿鬼是文哥以前的手下，阿MIKE是神枪手，阿肥是枪械专家。五人同心协力，将杀手擒获，并查清了幕后主使人。五个不认识的江湖人成为肝胆相照的好友，这时，阿南告诉阿鬼，阿信与文哥之妻通奸，要求阿鬼去杀死阿信，阿来坚决不允许这么做。阿MIKE和阿肥又分别支持阿来和阿鬼，最后他们约定在一家小餐厅解决这个问题，互相对准的枪口真是一触即发……	http://movie.douban.com/subject/1300741/	
全金属外壳 Full Metal Jacket	1987	剧情/战争	英国 / 美国	116	8.4	41694	　　越战期间，美军大量征兵。大批年轻人应征入伍，在新兵营接受“残忍”的训练。“傻瓜”比尔运动神经不发达，常常犯错而连累所有人一起受罚。“小丑”（马修•莫迪恩 Matthew Modine 饰）奉命帮助比尔，但比尔还是老犯错误，连累其他人。大家忍无可忍下打了他一顿，比尔从此变得精神恍惚，在新兵营毕业前夕枪杀教官后吞枪自杀。　　“小丑”随后分到了军队新闻组。他在采访中看到了当时的同伴们都已经变得麻木、残忍。一次，“小丑”随“牛仔”执行任务时，遭到越共狙击手伏击，“牛仔”亦不幸中弹身亡。众人经过一番搜索，击伤了狙击手。“小丑”发现狙击手竟是一个年轻少女。有人提议留下她挣扎而死，“小丑”在少女“杀了我”的哀求声中，扣下了扳机。	http://movie.douban.com/subject/1300055/	
走出非洲 Out of Africa	1985	剧情/爱情/传记/冒险	美国	161	8.5	42794	　　凯伦（梅丽尔·斯特里普 Meryl Streep 饰）是一个爱慕虚荣的富家女，为了得到一个男爵夫人的称号她离开故土丹麦远嫁东非肯尼亚，然而男爵夫人的称号并没有给凯伦带来美满的婚姻生活。幸运的是在那片广袤的土地上，凯伦可以经常外出打猎、探险，她渐渐的爱上了这片神奇的土地。 在一次打猎遇险时，凯伦邂逅了年青的英国贵族邓尼斯（罗伯特·雷德福 Robert Redford 饰）。在遭遇婚姻的破裂和丈夫出走之后，凯伦独立承担起经营庄园的任务，在劳动的过程中，凯伦渐渐的与种植园里的仆人们产生了深厚友谊，而她与邓尼斯的关系似乎也有了进展。然尔命运之神并没有从此让凯伦一帆风顺，一次大火让她不得不出卖庄园从而缓解经济的拮据，后来邓尼斯驾机意外身亡又一次给了她沉重的打击。在经历了生命的磨炼之后，凯伦最终告别了那片她洒下青春和热情的土地……　　该片在1986年的第58届奥斯...	http://movie.douban.com/subject/1291840/	
地道战	1965	战争	中国	101	8.3	33696	　　1942年，日军侵华的战火烧到了冀中平原。俯首称臣只有死路一条，奋起反抗才是最终的出路，冀中的人民都动员起来共抗日军了，高家庄更是调集了大量民兵。为了对抗日军的飞机大炮，当地人民利用地貌开凿出了一条条错综复杂的地道。　　民兵队长高传宝（朱龙广 饰）利用这些巧妙的地道，率领民兵与日军展开迂回作战。虽然曾因队伍里的败类汤丙会的出卖而吃了不少苦头，但是智勇相全的高传宝最终率领队伍利用地道围剿了日军，清理了汤丙会，并活抓了日军领队山田。地道战的胜利奏响了冀中反日的最强音。	http://movie.douban.com/subject/3033864/	
末路狂花 Thelma &amp; Louise	1991	剧情/惊悚/犯罪	美国 / 法国	130	8.6	64456	　　Thelma是家庭主妇,Louise是餐厅女招待.两位极其普通的女人想趁周末之际,出外旅行散心.谁知Thelma在一家乡村酒吧险遭强奸,幸亏Louise即时赶到予以制止.由于对方出言不逊,Louise一时冲动,枪杀了该男子.一个不经意的过失,把两人推上了逃亡的道路.在驶往墨西哥的路上,搭车的J.D.假装钟情于Thelma,两人尽欢后,趁Thelma疏忽之际,J.D.拿走了她们所有的路费.Thelma和Louise被逼上了绝路.平时在家是个受气包的Thelma不得不持枪强劫了零货店,两人一步步走向绝路.	http://movie.douban.com/subject/1291992/	
暗花	1998	悬疑/犯罪	香港		8.3	31824	　　澳门两大黑帮洪兴帮和义英帮为争夺赌场利益火并数月后决定言和，不想这时江湖上传出洪兴帮老大崩牙华已出五百万高价聘请外来杀手，准备不日刺杀义英帮大哥高佬忠。为保证高佬忠的安全以免天下再次大乱，崩牙华派出手下得力干将也是腐败警察的阿深（梁朝伟）去阻止事情发生。　　光头杀手耀东（刘青云）和神秘女子阿凤（邵美琪）常在阿深左右出没，不断给他制造麻烦。原来，耀东是黑帮幕后老大洪先生派来的粉碎洪兴帮和义英帮的超级杀手，他的杀人手段十分精妙狠绝。经过一番安排，耀东制造出崩牙华与高佬忠均死于阿深手中的局面，然而他的命运亦不掌控在自己手中。	http://movie.douban.com/subject/1292450/	
洛城机密 L.A. Confidential	1997	剧情/悬疑/惊悚/犯罪	美国	138	8.6	53206	　　此片根据詹姆斯艾洛（James Elloy）的小说改编，描写了1950年代，警界腐败、犯罪纵横的洛杉矶。　　杰克·文森（凯文·斯派西 饰）是警界名人，常常出现在电视媒体中，与《嘘嘘报》的八卦记者狼狈为奸，靠制造和揭发明星的桃色新闻，赚取外快。艾德·艾斯力（盖·皮尔斯 饰 ）子承父业进入警局，野心勃勃，做事严谨，因为出卖同事而升职，受到大家的排挤；巴德·怀特（罗素·克劳 饰） 铁面无私，但是个性冲动，容易遭人利用。　　一桩疑似抢劫的餐厅命案将这三个人联系起来。艾德·艾斯力找到了三个黑人嫌疑犯，并被判死刑结案，还因此收到上级嘉奖，但是他却在进一步的调查中发现案子并没有那么简单，他说服了杰克·文森和他一起继续追查；巴德·怀特对餐厅命案一直心存怀疑，他找到的线索也显示，案子根本没有想象中那么简单。　　三个人迅速被卷入一个色情、毒品、谋杀、背叛、贪污、阴谋交织的网中...	http://movie.douban.com/subject/1292348/	
尼罗河上的惨案 Death on the Nile	1978	悬疑/惊悚/犯罪	英国	140	8.4	27020	　　年轻漂亮的林内特（洛伊丝·奇利斯 Lois Chiles 饰）继承了父亲的巨额财产，这让林内特的朋友杰奎琳（米亚·法罗 Mia Farrow 饰）心生嫉妒，但更让奎杰琳无法接受的是，自己的男友道尔（西蒙·麦克金代尔 Simon MacCorkindale 饰）居然抛弃了自己，投入了这个富婆的怀抱。闪婚的林内特和道尔决定去埃及度蜜月，得知这一消息，一群人像闻到了腥味儿的猫咪一样悄悄聚集到了他们身边。　　波罗（彼得·乌斯蒂诺夫 Peter Ustinov 饰）也察觉到这趟旅程中有些不寻常的味道，聪明的他和助手雷斯上校（大卫·尼文 David Niven 饰）也来到埃及，登上了那条驶往阴谋和死亡的船。林内特死了，她的女佣路易斯（简·伯金 Jane Birkin 饰）死了，案件的目击者，色情小说家莎乐美（安吉拉·兰斯伯瑞 Angela Lansbury）也死了...	http://movie.douban.com/subject/1302100/	
坏孩子的天空 キッズ・リターン	1996	剧情	日本	107	8.4	28233	　　小马（金子贤饰）和新志（安藤政信饰）是一对好朋友，他们喜欢在操场上一起踩辆单车。作为“坏学生”的他们，总是跷课闲逛、捉弄老师、欺负同学等等。　　有一次小马被人揍打，对方是一个经常被他欺负的学生找来的拳击手。受到打击的小马开始学习拳击，想要争口气。新志也跟着学，没想到他却更有练拳的天分。后来小马放弃学拳，加入了黑帮当小弟。而新志却发奋练习，并有所收获。等待他们的又将是什么样的未来呢？　　几年后，小马和新志在街头巧遇。几年间发生的事情让他们改变了不少，又似乎什么都没变，两个坏孩子再度回到昔日的校园。	http://movie.douban.com/subject/1299062/	
铁皮鼓 Die Blechtrommel	1979	剧情/历史/战争	西德 / 波兰 / 法国 / 南斯拉夫	142	8.3	23829	　　奥斯卡（大卫·本奈特 David Bennent 饰）的家庭有些荒诞。他的母亲和自己的表弟相恋，由于近亲不能结婚，所以被迫嫁给了一位商人。奥斯卡是谁的孩子只有他母亲知道。在他三岁生日那天，母亲送了他一面铁皮鼓。奥斯卡十分喜欢，整天挂在脖子上敲。　　一天，奥斯卡躲到桌子底 下玩的时候发现了母亲与舅舅的秘密，他认为成人世界充满了欺骗，于是决定不再长大。当奥斯卡从楼上跳下时，奇迹发生了，他从此不再长高，身高永远只有三岁的水平！　　奥斯卡还意外获得了一种神秘的能力――高分贝的尖叫。当看到母亲与舅舅幽会时，他会爬上钟楼，用尖叫震碎所有玻璃；当老师责骂他时，他的尖叫震坏了老师的眼珠。奥斯卡维持着三岁的身高水平慢慢长大。	http://movie.douban.com/subject/1292207/	
茜茜公主2 Sissi - Die junge Kaiserin	1956	剧情/爱情/历史	奥地利	107	8.5	21924	　　维也纳盛大的皇家婚礼之后，茜茜（罗密·施奈德 Romy Schneider 饰）开始皇后的生活。她慢慢地调整自己以适应奥地利宫廷生活，但她发现与皇太后苏菲（玛达·施耐德 Magda Schneider 饰）相处非常艰难。专横的皇太后恪守着皇室的陈规陋习，并不断地向弗兰兹（卡尔亨兹·伯恩 Karlheinz Böhm 饰）灌输应该怎样遵守皇室法规去经营帝国和家庭。茜茜的女儿出生之后，她和苏菲之间的矛盾进一步激化。苏菲依据皇室的规矩不让茜茜自己抚养女儿，而弗兰兹竟然顺从母意，让茜茜与女儿无法在一起。伤心失望的茜茜只身一人回到巴伐利亚。愧疚弗兰兹立刻追随而至，劝服茜茜和他一起返回奥地利。这时，苏菲也不得不改变主意同意茜茜抚养女儿。之后，茜茜伴随弗兰兹出访多国，在匈牙利她受到了热烈的欢迎，他们在匈牙利人民的欢呼声中加冕为奥匈帝国的国王和皇后。　　影片获得第10...	http://movie.douban.com/subject/1302235/	
茜茜公主3 Sissi - Schicksalsjahre einer Kaiserin	1957	剧情/爱情/历史	奥地利	109	8.5	17928	　　奥地利年轻的皇后茜茜（罗密·施奈德 Romy Schneider 饰）遍访匈牙利，感受到这里的人民对她毫无政治性的热情，她深深地喜欢上了这个国家和人民，这也是唯一一种能让她逃离维也纳皇室生活压力的办法。然而，当她和安德森伯爵在匈牙利安抚不愿屈服的贵族时，皇太后苏菲（玛达·施耐德 Magda Schneider 饰）却在散布茜茜与伯爵之间的谣言。弗兰兹（卡尔亨兹·伯恩 Karlheinz Böhm 饰）一直埋头国事，任凭母亲苏菲去干预朝政，甚至包括女儿的抚养问题。当茜茜被诊断患有严重的肺结核病时，弗兰兹竟然依从母亲的意思让医生将女儿从茜茜身边带走。茜茜被送往遥远的岛上养病，孤独无助的她在母亲的精心呵护下，身体逐渐康复。茜茜病愈之后陪同弗兰兹前往意大利北部进行访问。那里的民族主义者们强烈地反对奥地利的统治，对整个王室表现出很大的敌意。但是，当茜茜和她的女...	http://movie.douban.com/subject/1297644/	
愤怒的公牛 Raging Bull	1980	剧情/传记/运动	美国	129	8.3	20945	　　杰克•拉莫塔（罗伯特•德尼罗 Robert De Niro 饰）出身于纽约的布鲁克林区。自小便进行拳击训练的杰克很快就在拳击界崭露头角，他因在比赛中出拳迅猛，打击对手毫不留情，表现得就像一头公牛，被称为“愤怒的公牛”。　　虽然杰克表现出色，但因为他为人耿直，不肯屈服于黑手党的安排，所以在当时他一直无缘于挑战拳王金腰带。在多次失意后，杰克终于向黑手党屈服，听从安排输掉了一场比赛。之后杰克如愿挑战了拳王并顺利加冕。　　加冕后的杰克不仅没有体会到预想中的兴奋，反而看透了拳击界的种种黑幕，决意退出。	http://movie.douban.com/subject/1293155/	
K星异客 K-PAX	2001	剧情/科幻/悬疑	美国 / 德国	120	8.5	33204	　　一位自称普洛特的戴墨镜男人（凯文•斯帕西 Keven Spacey 饰）突然出现在纽约中央公园车站。他自称来自天琴座附近距地球一千光年的K-PAX星，以超光速来到地球考察。普洛特被当作精神病人入住曼哈顿精神病院，受到马克•鲍威尔医生（杰夫•布里奇斯 Jeff Bridges 饰）的治疗。马克认为普洛特是妄想症患者，却又对普洛特的奇怪行为和不可思议的天文知识将信将疑。同时，普洛特的到来在病院中其他病人中造成轰动，人人都希望能被选中随普洛特回K-PAX星。马克医生竭尽全力希望找出普洛特的真实身份，却没想到自己竟在此过程中越来越被普洛特的理论所说服。普洛特的真实身份究竟为何？　　本片被提名美国科幻、幻想和恐怖电影协会最佳男主角（凯文•斯帕西）。	http://movie.douban.com/subject/1306607/	
坠入 The Fall	2006	剧情/奇幻/冒险	美国 / 印度	117	8.7	21103	　　电影特技演员罗伊•沃克（Lee Pace 饰）在拍摄一组骑马从桥上一跃而下的镜头时严重受伤，导致下半身瘫痪失去知觉。此时的他极度绝望，万念俱灰，只想一死了之。正当罗伊沮丧之际，因摔断胳膊住进医院的5岁小女孩亚历珊卓（Catinca Untaru 饰）闯入了罗伊的世界。　　这两个年龄悬殊的病友就此交上了朋友，亚历珊卓每天来罗伊的病房报到，只为听朋友讲那个玄幻神奇的故事。而罗伊用这个顺口编出的故事吸引小女孩，却想完成借机完成他的自杀计划……　　本片荣获2007年柏林影展玻璃熊特别表扬-最佳影片奖、Sitges - Catalonian International Film Festival的最佳影片奖、2008年奥斯汀影评人协会奖最佳剧本。	http://movie.douban.com/subject/1890572/	
东京日和 東京日和	1997	剧情	日本	121	8.4	9903	　　摄影家岛津已喜男（竹中直人饰）想要出版一本摄影集，这是一本献给亡妻阳子（中山美穗饰）的摄影集，标题为《东京日和》，岛津希望藉着这本摄影集，重新去感觉他和阳子之间的情愫与回忆。　　在旅行社工作的阳子患有内分泌失调症，因而常常出现有别于常人的情绪和行为，甚至会无缘无故地走失。同事和上司也发现她的异常，但岛津对她依旧钟爱，并尽力保护她，使她免受现实残酷的压力。在柳川之旅，夫妇俩人故地重游，然而，阳子的病症越来越严重，岛津最终未能留住心爱的阳子。	http://movie.douban.com/subject/1299607/	
黄昏的清兵卫 たそがれ清兵衛	2002	剧情/爱情	日本	129	8.6	10220	　　幕府末年的海阪藩，下级武士清兵卫（真田广之）在妻子病逝后，以微薄薪俸独自照料痴呆老母和两个年幼女儿，由于每日结束工作后都是匆匆回家从不参加应酬，他被同僚们戏称为“黄昏的清兵卫”。　　与清兵卫青梅竹马的朋江（宫泽里惠）同丈夫离婚回到娘家后，常到清兵卫家代他照顾母亲和女儿，招来不少蜚言蜚语。清兵卫显露高超剑技击退了无理纠缠的朋江的前夫，然而当朋江的哥哥建议他迎娶朋江时，他却因不想让朋江吃苦婉拒了好意，致使朋江自此绝迹于他家。藩主得知清兵卫的才能后，强命他前去处决一名力敌数人据守不出的反叛武士。临行前，清兵卫向朋江表白了隐藏心底已久的爱意，不想对方已经答应另一门亲事，清兵卫黯然踏上生死未卜之途。	http://movie.douban.com/subject/1307306/	
转转 転々	2007	喜剧	日本		8.5	9047	　　大学生竹村文哉（小田切让 饰）真可谓霉运当头，他自幼被父母抛弃，养父则被投入监狱，大学念了八年始终无法毕业，在外更债台高筑，欠下84万元债务。因迟迟无法还钱，他被讨债人福原爱一郎（三浦友和 饰）狠狠修理了一番。　　在最后期限的前一天，福原找到竹村，提议愿意取消他的一切债务，条件是竹村必须陪这个凶悍的老头子在东京散步。或者三天，或者一个月，直到福原满意为止。为钱所困的竹村别无选择，只得答应了这个奇怪的要求。一段不平凡的旅程就此展开……	http://movie.douban.com/subject/2263102/	
金氏漂流记 김씨 표류기	2009	剧情/爱情	韩国	116	8.3	21849	　　金盛瑾（郑在泳 饰）因公司重组而失去了工作，同时债台高筑，妻子也离他而去，对人生彻底失望的金盛瑾爬上了汉江的大桥，纵身一跃…… 然而金盛瑾醒转过来之后，发现自己漂流到了汉江的江心小岛上，短暂的脱身努力失败后，金盛瑾在城市的边缘陷入了鲁宾孙一般的境地，回想起现代生活的局促忙碌，金盛瑾放弃了自杀的念头，开始依靠小岛上的各种废品过起了化外人生。与此同时，在城市高楼中，一位有自闭症的金小姐（郑丽媛 饰）恰巧用相机目睹了金盛瑾自杀的情形，这个一年中只在演习时窥探大街的女孩生活中自此闯入了一个外星人般的都市鲁宾孙。金小姐在夜晚时分进入对她来说危机四伏的街道，以便给金先生送出自己的信号，而金盛瑾则用沙滩上的大字来回应，这对儿奇妙的笔友慢慢维系着这份情谊，但是在纷乱的都市中，这段关系会走向何方呢？	http://movie.douban.com/subject/3586725/	
花落花开 Séraphine	2008	剧情/传记/战争	法国 / 比利时	125	8.5	10941	　　一战前，法国巴黎附近的小镇桑利斯，样貌平凡、独来独往的中年妇女赛哈芬妮·路易（友兰达·莫霍 Yolande Moreau 饰）在杜佛夫人（Geneviève Mnich 饰）家帮佣，靠打扫和洗衣维生。赛哈芬妮收入微薄，却将所赚的钱都花在画材上，下工后抓紧一切时间画画。致力提倡“素朴艺术”的德国收藏家威威廉·伍德（乌尔里克·土库尔 Ulrich Tukur 饰）搬入了杜佛夫人的出租公寓，在一次聚会上惊见赛哈芬妮的画作，立刻买下她所有的作品，并且鼓励她继续创作。不久一战爆发，威廉·伍德和妹妹连夜逃离，赛哈芬妮独留小镇，战火中继续作画，生活越发贫困艰难，直到 1927年，威廉·伍重返法国……　　本片荣获2009年法国恺撒电影节最佳影片、最佳女主角、最佳原著剧本、最佳电影配乐、最佳摄影、最佳布景、最佳服装共七项大奖，并获最佳导演及最佳声音奖提名。	http://movie.douban.com/subject/3173635/	
闪亮的风采 Shine	1996	剧情/爱情/音乐/传记	澳大利亚	105	8.5	7082	　　本片根据澳大利亚钢琴家戴维•赫尔夫戈特（David Helfgott）的真人真事改编。　　生于犹太人家庭的戴维（Alex Rafalowicz 饰）自幼便展现过人的天赋，他的父亲望子成龙，逼迫戴维苦练钢琴，甚至不切实际地让儿子挑战号称“世界上最难演奏的作品” 《D小调第三钢琴协奏曲》。戴维在父亲的阴影下苦不堪言，而父亲为防止家庭破裂又千方百计阻止儿子外出求学，最终父子走向决裂。　　长为青年的戴维（Noah Taylor 饰）远赴英国皇家音乐学院求学，在此期间，“拉三”仍然是他心中未了的情结，经过紧张筹备，他终于走向舞台挑战父亲为他设下的攀登极限……　　影片荣获1997年奥斯卡最佳男主角奖（Geoffrey Rush）。	http://movie.douban.com/subject/1297007/	
马路天使	1937	剧情/喜剧/歌舞	中国	91	8.5	7939	　　1930年代，小云、小红（周璇）姐妹被人骗到上海卖给琴师和妓院老鸨夫妇，小云被迫做了暗娼，小红年纪尚小，又天生有一副好嗓子，便随琴师去茶楼终日卖唱。姐妹两人住在贫民窟，在她们对面，住的分别是报贩老王和吹鼓手陈少平（赵丹）。因为闲来无事时陈少平常同小红对窗玩闹，两人渐生感情。　　小红卖唱时被流氓古成龙缠上，对方欲强霸她为妾，小红找陈少平商量对策，两人本想借助律师将正义伸张，不想律师双眼只认钱，无奈之下只得逃走，而这一过程中，老王对小云由怜生爱，可是小云却因自卑不敢正视。琴师偶知陈少平与小红下落，放风给古成龙，古成龙赶到小红住处时，屋里只有她和小云，两人生命危在旦夕。	http://movie.douban.com/subject/1307708/	
莫斯科不相信眼泪 Москва слезам не верит	1980	剧情/喜剧/爱情	苏联	142	8.4	6161	　　影片讲述十七岁的女工卡捷琳娜因天真幼稚和充满幻想而冒充教授的女儿，并爱上了电视台摄影师鲁道夫，进而怀了孕。不久，鲁道夫发现真相并抛弃了卡捷琳娜。但卡并未就此消沉，她一面抚养孩子，一面发愤读书，终于在十六年后成为莫斯科一家大厂的厂长。此后，卡捷琳娜又结识了电焊工果沙，并一直隐瞒自己的身份。真相再一次暴露后，卡捷琳娜在女友们的帮助下，经过一番周折终于结束了单身生活，得到了一个女人真正的幸福。	http://movie.douban.com/subject/1303066/	
地球之夜 Night on Earth	1991	剧情/喜剧	法国 / 英国 / 德国 / 美国 / 日本	129	8.4	5410	　　本片由五个发生在同一时间，不同国家地区的小故事组成，每个故事都描述了的士司机与乘客的一次短暂遭遇。　　洛杉矶晚上7:07，假小子司机柯基（薇诺娜·瑞德 Winona Ryder 饰）载着她的客人维多利亚（吉娜·罗兰兹 Gena Rowlands 饰）回酒店，恰巧负责电影选角的维多利亚看中了柯基，然而柯基却告诉她自己想成为一名机械师……　　纽约晚上10:07，黑人青年尤尤终于拦到了一辆的士，却发现司机是一名根本不会开车且语言不通的外国老人赫尔穆特（阿明·缪勒-斯塔尔 Armin Mueller-Stahl 饰），尤尤只好主动提出由他来开车……　　巴黎凌晨4:07，年轻的黑人司机把两名出言侮辱他的非洲乘客撵下车后，上来了一位美貌的盲女（碧翠斯·黛尔 Béatrice Dalle 饰），他立即对她产生了好奇与怜悯，却发现她比自己更能在这世界上辨明方向。　　……　　本...	http://movie.douban.com/subject/1301498/	
夜访吸血鬼 Interview with the Vampire: The Vampire Chronicles	1994	爱情/恐怖	美国	123	8.3	151862	　　18世纪的路易斯安娜州，丧失妻女痛不欲生的庄园主路易（布拉德·皮特 饰）遇上了吸血鬼莱斯塔特（汤姆·克鲁斯 饰），被其施法变成吸血鬼。路易心存人性，不愿意吸血杀人，靠吸食动物的血为生，而莱斯塔特则一心要把路易斯教导成一个真正的吸血同类。　　在新奥尔良，路易禁不起诱惑吸了小女孩克萝迪娅（克尔斯滕·邓斯特 饰）的血，而莱斯塔特则不顾路易斯的反对把克萝迪娅也变成了吸血鬼。三个人组成了一个奇特的家庭。　　几十年过去了，克萝迪娅开始怨恨莱斯塔特剥夺了他真正的人生，她设计杀死了莱斯塔特，和路易周游世界，过着既像父女、又像情人的生活，寻找同类，也寻找着自身存在的意义。　　在巴黎，他们遇上了以阿蒙（安东尼奥·班德拉斯 饰）为首的一群吸血鬼，聚居在剧院地下，过着和他们迥然不同的生活，阿蒙给了路易许多教导，想成为路易的新伙伴，为此，路易和克萝迪娅之间出现了裂痕，最终，酿成了无...	http://movie.douban.com/subject/1299327/	
发条橙 A Clockwork Orange	1971	剧情/科幻/犯罪	英国 / 美国	136	8.4	134230	　　阿利斯（马尔科姆•麦克道尔）是一位无恶不作的少年，他的特殊喜好是边听贝多芬的交响曲边奸淫女性，某次他进入一所别墅抢劫一番后，打残了该别墅的主人——一名小说家，并用特殊喜好蹂躏了其妻子。后来因为杀了一名单身女子，阿利斯入狱并接受了特殊的人格治疗，出狱后，他对淫乐之事产生彻底的厌倦。　　但当阿利斯回到家时，周围人群没改变对他的旧看法，在种种歧视的重压下，他跑到郊外一所别墅想喘口气，不想这所别墅正是他以前抢劫过的小说家的那所。而作为反政府组织首领的该小说家为了达到某种目的，软禁了阿利斯。当这件事暴露小说家被捕时，其手下为了对抗政府，扬言要把阿利斯恢复原来的性情，完全不理一旁的阿利斯大叫“我完全好了”。	http://movie.douban.com/subject/1292233/	
